scheme,bucket,scope,games,correct_predictions,accuracy,expected_accuracy,calibration_error,accuracy_ci_low,accuracy_ci_high,confidence_correctness_auc,confidence_error_spearman,calibration_intercept,calibration_slope,threshold,measure
cumulative_favorite_probability,>=0.65,combined,141,80,0.5673758865248227,0.6822722740699412,-0.11489638754511844,0.48226950354609927,0.6453900709219859,0.44508196721311477,-0.09425563335229892,0.32790584763988057,-0.07346616067330067,0.65,favorite_probability
cumulative_favorite_probability,>=0.65,2022,29,15,0.5172413793103449,0.6722634967320439,-0.15502211742169902,0.3448275862068966,0.6896551724137931,0.519047619047619,0.0329914439536929,-0.39874664599260634,0.6498937289569066,0.65,favorite_probability
cumulative_favorite_probability,>=0.65,2023,40,31,0.775,0.6860377194241344,0.08896228057586564,0.65,0.9,0.4444444444444445,-0.08038888179363396,1.3100313503082432,-0.09337119901053757,0.65,favorite_probability
cumulative_favorite_probability,>=0.65,2024,34,17,0.5,0.6845755518479318,-0.18457555184793184,0.3235294117647059,0.6764705882352942,0.3391003460207613,-0.2788069929629363,1.0113733601299295,-1.2964908501906798,0.65,favorite_probability
cumulative_favorite_probability,>=0.65,2025,38,17,0.4473684210526316,0.683886097337826,-0.23651767628519443,0.2894736842105263,0.6052631578947368,0.4509803921568627,-0.08446200721769777,-0.6122542171677176,0.5152426349222977,0.65,favorite_probability
cumulative_absolute_run_difference,>=0.5,combined,3852,2339,0.6072170301142263,0.5826327894303176,0.024584240683908742,0.5919003115264797,0.6227933541017653,0.541567495274671,0.070322255250372,0.1803297158103791,0.7652267897962439,0.5,absolute_run_difference
cumulative_absolute_run_difference,>=0.5,2022,1057,659,0.6234626300851467,0.5814261652460452,0.042036464839101506,0.5941343424787133,0.651844843897824,0.5187088706049214,0.03140130120578666,0.43396373072290806,0.2143712478203095,0.5,absolute_run_difference
cumulative_absolute_run_difference,>=0.5,2023,982,592,0.6028513238289206,0.5851401195647509,0.017711204264169722,0.5723014256619144,0.6334012219959266,0.5658307345807345,0.11158381831006807,-0.16480898740102115,1.7041088809923897,0.5,absolute_run_difference
cumulative_absolute_run_difference,>=0.5,2024,908,547,0.6024229074889867,0.5822580103299958,0.020164897158990946,0.5704845814977973,0.6343612334801763,0.543842768665144,0.07432762808517093,0.1770897514383226,0.7180548353142228,0.5,absolute_run_difference
cumulative_absolute_run_difference,>=0.5,2025,905,541,0.5977900552486188,0.5816974336224219,0.016092621626196957,0.5657458563535912,0.6298342541436464,0.5388982551644289,0.06607265435675173,0.29164640132184516,0.3160699147427256,0.5,absolute_run_difference
